Title,Date
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Sozin's Comet: Parte 2: The Old Masters","29/10/2016"
"The Crown (Trailer)","29/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Sozin's Comet: Parte 1: The Phoenix King","28/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Os atores da Ilha Ember","27/10/2016"
"Wolverine e os X- Men: Hindsight: Part 1","27/10/2016"
"Ridiculous Six: Motion Video - 3loop","26/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 3: Leis da natureza","26/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Os atacantes do sul","26/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: S.O.S.: Parte 2","25/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: S.O.S.: Parte 1","25/10/2016"
"Voltron - O Defensor Lendário: Temporada 1: A Origem de Voltron","25/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Boiling Rock: Parte 2","25/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Cicatrizes","24/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Boiling Rock: Parte 1","24/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Meia dúzia de sujos","23/10/2016"
"Stranger Things: Capítulo um: O desaparecimento de Will Byers","23/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: A inimizade do meu inimigo","23/10/2016"
"Hora de Aventura: Temporada 4: Sonho de Amor","23/10/2016"
"Hora de Aventura: Temporada 4: Cinco Historinhas","23/10/2016"
"Hora de Aventura: Temporada 4: Quente Demais Parte 2","23/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Os mestres da dominação do fogo","23/10/2016"
"The Flash: Temporada 2: De volta ao normal","23/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O templo de Ar do Oeste","21/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Day of the Black Sun: Parte 2","20/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Day of the Black Sun: Parte 1","19/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Pesadelos e devaneios","18/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Melinda","17/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A manipuladora de fantoches","17/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Pós-vida","16/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A fugitiva","16/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Uma porta se fecha","15/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Avatar e o Senhor do Fogo","15/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Amor no tempo da Hidra","14/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A praia","14/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Um de nós","13/10/2016"
"Walking with Dinosaurs: Sea Monsters: Mares perigosos","13/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Quem vocês são realmente","13/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O mestre de Sokka","13/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Tremores","11/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A dama pintada","11/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A faixa de cabeça","10/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: No que se tornaram","09/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O despertar","09/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Quem entrou aqui?","08/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Coisas que sepultamos","07/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: As encruzilhadas do destino","07/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Escrituras na parede","06/10/2016"
"Parker","06/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O guru","06/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O rei da Terra","04/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Uma casa despedaçada","03/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Lago Laogai","03/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Os dias perdidos do Appa","02/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Um cordeiro na casa do lobo","01/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: De cara com o inimigo","01/10/2016"
"Two and a Half Men: Temporada 6: Acima ciclopes exaltados","01/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: As histórias de Ba Sing Se","01/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Amizades e influências","30/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A cidade de muros e segredos","30/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Traição","29/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Journey to Ba Sing Se: Parte 2: The Drill","29/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Sombras","27/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Journey to Ba Sing Se: Parte 1: The Serpent's Pass","27/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O deserto","26/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A biblioteca","25/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Trabalho amargo","24/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A caçada","23/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Zuko sozinho","22/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A bandida cega","21/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: O começo do fim","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O dia do avatar","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O pântano","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Retorno a Omashu","18/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A caverna dos dois amantes","17/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O estado avatar","16/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Gentalha","15/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Siege of the North: Parte 2","15/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Siege of the North: Parte 1","15/09/2016"
"Video Games: The Movie","14/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 20","13/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 19","12/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Waterbending Master","12/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 18","11/09/2016"
